"";"ID";"anio";"dpto";"region";"w_ano";"e26";"e27";"e29_6";"e49";"e51_2";"e51_3";"e51_4_a";"e51_4_b";"e51_5";"e51_6a";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_6";"e51_8";"e218_1";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"1";11559;2022;1;1;84;2;29;3;1;6;0;3;0;3;2;1;0;1;0;0;0;0;0;0;0;0;30;2;2;1;1;1;2;37189,48;37189,48;37189,48;14;9;10,5237812045681;37189;10,5237812045681;37189;81
"2";11560;2022;1;1;33;2;26;3;1;6;0;3;0;2;0;1;0;2;0;0;0;0;0;0;0;0;40;2;2;1;1;1;2;154606,146666667;154189,48;154189,48;11;9;11,9486361728617;154606;11,9459375146972;154189;81
"3";11561;2022;1;1;33;2;50;3;1;6;0;3;0;3;2;1;0;1;0;0;0;1;5;0;0;0;35;2;2;2;1;9;2;93189,48;93189,48;93189,48;19;25;11,4423901187663;93189;11,4423901187663;93189;625
"4";11563;2022;1;1;33;2;28;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;0;0;0;50;2;2;1;1;9;2;78189,48;78189,48;78189,48;17;5;11,2668903906296;78189;11,2668903906296;78189;25
"5";11564;2022;1;1;82;1;43;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;6;0;2;1;40;2;2;2;1;2;2;190689,48;153189,48;190689,48;20;17;12,1584016248859;190689;12,1584016248859;190689;289
"6";11564;2022;1;1;82;2;36;3;1;6;0;3;0;3;0;1;0;1;0;0;4;2;3;0;0;0;40;2;2;2;1;2;2;51189,48;51189,48;51189,48;19;11;10,843289321166;51189;10,843289321166;51189;121
"7";11565;2022;1;1;47;1;29;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;4;0;0;0;40;2;2;2;1;2;2;72289,48;72289,48;72289,48;16;7;11,1884338927191;72289;11,1884338927191;72289;49
"8";11566;2022;1;1;70;1;51;3;1;6;0;3;0;3;1;1;0;1;0;0;0;1;5;0;0;0;36;2;2;2;1;1;2;93231,1466666667;93189,48;93189,48;18;27;11,4428371365465;93231;11,4423901187663;93189;729
"9";11566;2022;1;1;70;1;53;3;1;6;0;3;0;3;0;1;0;1;0;0;0;2;2;0;0;0;40;2;2;2;1;1;2;63189,48;63189,48;63189,48;14;33;11,0538931105835;63189;11,0538931105835;63189;1089
"10";11568;2022;1;1;46;2;60;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;2;2;2;1;9;2;18000;5000;18000;7;47;9,7981270368783;18000;9,7981270368783;18000;2209
"11";11568;2022;1;1;46;2;27;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;44;2;2;2;2;1;2;31189,48;31189,48;31189,48;12;9;10,3478361374526;31189;10,3478361374526;31189;81
"12";11569;2022;1;1;84;1;30;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;4;0;0;0;40;2;2;2;2;9;2;48189,48;48189,48;48189,48;16;8;10,7828960189557;48189;10,7828960189557;48189;64
"13";11571;2022;1;1;69;1;33;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;63190,48;35189,48;45189,48;7;20;11,0539089358773;63190;10,7186195953686;45189;400
"14";11574;2022;1;1;33;1;67;3;1;6;0;3;0;3;3;1;0;1;0;0;0;0;0;0;0;0;40;2;2;2;1;9;2;40000;40000;40000;15;46;10,5966347330961;40000;10,5966347330961;40000;2116
"15";11575;2022;1;1;67;1;39;3;1;6;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;44;2;2;2;2;1;2;37489,48;37489,48;37489,48;10;23;10,5318156392683;37489;10,5318156392683;37489;529
"16";11576;2022;1;1;92;1;33;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;0;2;1;54;2;2;2;2;1;2;124105,813333333;110772,48;124105,813333333;19;8;11,7288898140386;124106;11,7288898140386;124106;64
"17";11576;2022;1;1;92;2;32;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;0;2;1;40;2;2;2;1;1;2;65189,48;61189,48;65189,48;19;7;11,0850533852032;65189;11,0850533852032;65189;49
"18";11579;2022;1;1;68;2;31;3;1;6;0;3;0;2;0;1;0;2;1;3;0;1;4;0;0;0;60;2;2;2;1;1;2;90189,48;90189,48;90189,48;15;10;11,4096680695372;90189;11,4096680695372;90189;100
"19";11580;2022;1;1;81;2;52;3;1;6;0;3;0;3;3;1;0;1;0;0;0;0;0;3;2;1;33;2;2;2;1;2;2;176106,146666667;172189,48;172189,48;20;26;12,0788421982855;176106;12,0563507773558;172189;676
"20";11580;2022;1;1;81;1;20;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;24;2;2;2;2;1;2;19189,48;19189,48;19189,48;12;2;9,86211749118802;19189;9,86211749118802;19189;4
"21";11582;2022;1;1;33;2;60;3;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;44;2;2;1;1;1;2;70595,28;70595,28;70595,28;8;46;11,1647185657223;70595;11,1647185657223;70595;2116
"22";11584;2022;1;1;33;2;46;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;3;0;0;30;2;1;2;1;2;2;107089,48;91089,48;94089,48;20;20;11,5814200256543;107089;11,4520015233621;94089;400
"23";11586;2022;1;1;80;1;34;1;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;56;2;2;2;2;9;2;30000;30000;30000;12;16;10,3089526606443;30000;10,3089526606443;30000;256
"24";11586;2022;1;1;80;2;39;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;44;2;2;2;1;1;2;31989,48;31989,48;31989,48;12;21;10,3731623777317;31989;10,3731623777317;31989;441
